"gene","p"
"INHBB",1.81476688540024e-08
"MIR31HG",3.87420266214737e-07
"XRCC6BP1",5.4599211298443e-07
"DCBLD2",7.6091106308249e-07
"ZEB1-AS1",9.11189736885245e-07
"NDUFA9",1.00706238890098e-06
"CCDC134",1.23258896115108e-06
"SCARA3",1.95287713496398e-06
"PTPN14",4.08604896740586e-06
"LRRC8A",4.51066846155888e-06
"NAV3",5.10380562140238e-06
"ILVBL",7.42165151761052e-06
"PPFIBP2",1.12695906171901e-05
"NPR3",1.14380424778465e-05
"PXMP2",1.3017837568397e-05
"TAPBPL",1.54494697497189e-05
"ZNF667",1.72868645016937e-05
"LOC101929504",2.5885740099895e-05
"ASL",2.63586822958946e-05
"CCL15 /// CCL15-CCL14",2.80566272796172e-05
"GLYCTK",2.85707861016478e-05
"SLC35G1",3.15636178449693e-05
"CS",3.34949832686228e-05
"GJB6",3.74211110247552e-05
"WHAMMP2 /// WHAMMP3",3.84121019622594e-05
"PRR15L",3.98254199876227e-05
"JAGN1",4.25489323070984e-05
"MYO5B",4.37508489698651e-05
"PRELID2",4.82688672692919e-05
"EBF2",4.94904552283466e-05
"LGALS9",5.06961785471335e-05
"MSLN",5.70952855612787e-05
"MYB",6.01713728836127e-05
"MARVELD2",6.34666573710889e-05
"SH3RF2",6.68066915376057e-05
"CRYM",7.28239597148453e-05
"FGF1",7.28983060627153e-05
"FGF19",7.40859669209858e-05
"LGALS4",7.44403728780591e-05
"ATP5G1",7.66969498329374e-05
"PABPC4L",7.71987777895857e-05
"DNPEP",7.80469363106963e-05
"SCEL",8.01117774202401e-05
"MSANTD3-TMEFF1 /// TMEFF1",8.08794998085467e-05
"MAP1B",8.09346401497561e-05
"TIMM13",8.371409110281e-05
"MMP16",8.58516701683906e-05
"CDX1",8.81922760748434e-05
"ATP5B",9.28897501867708e-05
"DBI",9.52068121284414e-05
"AK021804",9.73291210768988e-05
"ACSS2",9.83272399660509e-05
"ADAMTS18",0.000105504659042812
"RUNX1-IT1",0.000108273560202512
"FAM69C",0.000109341146726851
"METTL7B",0.000120281800803334
"PRICKLE1",0.000120657919039051
"GMNN",0.000121434281950363
"AQP11",0.000122993230057516
"AKT3",0.000126588903936409
"LINC00973",0.000129331207884668
"LINC00852",0.000139678696851044
"OGDHL",0.000148111921203046
"SNRNP35",0.000166468418305391
"ACOX2",0.000168837352496001
"RHPN2",0.00017027558768743
"RP11-680G24.5",0.000180235391083795
"COA3",0.000181722722839248
"FLT1",0.000183432277095698
"C4orf47",0.00019003076369114
"THUMPD3",0.000194613135107501
"LRRC4C",0.000209486006997089
"BACE1",0.000211653397803152
"UQCRQ",0.00021606851008316
"TEN1 /// TEN1-CDK3",0.000217741227381326
"SLC12A2",0.000221974741959681
"FAM225A /// FAM225B",0.000223091526156396
"SERPINB7",0.000224271367194059
"RP11-252E2.1",0.000230163786639443
"FHDC1",0.000236378465619733
"PSME1",0.000239026681756702
"KCNQ1OT1 /// LOC101927338",0.000257119930681917
"STARD7",0.000263112688862803
"MIR7703 /// PSME2",0.000264362494738405
"NOX1",0.000268486253883637
"COX5A",0.00026851322583661
"RP4-614O4.12",0.000277707588774768
"FAM83F",0.000283388319425629
"SMAGP",0.000296734715203877
"MCCC2",0.000308247279357075
"SIX4",0.000312647970116715
"CCDC94",0.000318579197598987
"PRRX2",0.000322516116290322
"AGAP11",0.000327460899636953
"NSMCE4A",0.000328205655603942
"UQCRC1",0.000330153626981763
"MLLT11",0.00033117869744928
"SLC2A3",0.00033796060704688
"NIN",0.000342159546634548
"AIM1",0.000343451369393805
"SNRNP25",0.000348371059846525
"GADD45B",0.000353759695902116
"CCL22",0.000355429267175708
"AGMAT",0.000357183266904603
"CYP2J2",0.000360279652362994
"CEBPA",0.000364114321593397
"HACL1",0.000386714879932934
"KRT6A",0.000389644217445435
"ZNF117",0.000395958071579385
"COLEC12",0.000397646901235705
"ELL3",0.00040320191122665
"FAM195A",0.00040488234288562
"HOOK1",0.000418248955707815
"LAMC1",0.000425309863768553
"ACAT2",0.000436424892329997
"COX6A1",0.0004424023786764
"RAB15",0.000444747732103411
"NOG",0.00044846254130263
"MCRS1",0.000449038055072845
"HADH",0.000468167151012817
"GDI1",0.000481455818331492
"TXN2",0.000484884570523859
"LAMP5",0.000485072067949542
"LRPAP1",0.000491530706492612
"KLHL4",0.000499786957832731
"ESRP2 /// MIR6773",0.000500860178851968
"HTR2B",0.000505183887956824
"TIAF1",0.000514385918770876
"MCEMP1",0.000540776997652947
"COA7",0.000543023450554176
"BCMO1",0.000544362000679293
"ZBED3",0.000546974754849982
"MIR6789 /// PLEKHJ1",0.000553909385726766
"SUOX",0.000563299982654897
"IL17RB",0.000576501380547833
"CASP6",0.000577169699136961
"TGFB2",0.000584728909698217
"EPHB2",0.000587860420374794
"PANK1",0.000589232051571854
"LY6D",0.000590269920515752
"RAB11FIP4",0.000604035239692991
"AF070581",0.00060687005202416
"COQ2",0.000612860131423653
"MPRIP",0.00061456117296136
"LRRC37A4P",0.000618225225941805
"KANK4",0.000624436600534402
"NHEJ1 /// SLC23A3",0.000638169125080279
"CD36",0.000639906799467503
"DDT /// DDTL",0.000641502289855114
"STRA13",0.000651100703348962
"KRT6A /// KRT6B /// KRT6C",0.000651355512803385
"FST",0.000653866516785793
