"gene","p"
"NKAIN4",1.85266913381415e-05
"PPFIA4",5.19760329344972e-05
"MIR9-3HG",0.000195448355933408
"AC018641.1",0.000732509834955505
"MYH16",0.000817568381998189
"AC026471.6",0.000961099811516502
"ANKRD6",0.00102678708251616
"PRG4",0.00106046868951825
"LRRC4C",0.0011536707086643
"LRRN4",0.00121919500065234
"SUSD5",0.00125005845420926
"RYR2",0.00139142411539629
"IGLON5",0.00169461765152499
"HEYL",0.00177140767339077
"TSPEAR-AS1",0.00207675278039678
"SHANK1",0.00216487278829975
"NAT1",0.00261838927409998
"CLDN11",0.00266959513783181
"NAV3",0.0028106005334877
"PCDHB5",0.00299467970787194
"SIX4",0.00323661734148986
"FAM155A",0.00357478390230674
"PCDHB2",0.00371673405168745
"ADGRD1",0.00372466924466061
"PCDHB6",0.00407974886925391
"KCNQ3",0.00488025257894265
"XCL1",0.00547968027049152
"PCDHB12",0.00573176278313608
"HBA2",0.00637548239310003
"TSPEAR",0.00646508296823377
"EXOC3L4",0.00709313139722049
"RAMP2-AS1",0.00724406090306768
"DTNA",0.00758012576323426
"PCDH10",0.00883328547824149
"PRELP",0.0096514112456039
"C8G",0.00966052389817705
"TUB",0.0101382523861782
"C5orf46",0.0103687866295602
"EBF3",0.0112406553639351
"SYPL2",0.011300914416448
"PLXNB3",0.01134392594392
"S1PR3",0.0114610487736038
"PNMA8B",0.0115116490590514
"PCDH9",0.0116713889999915
"SFRP2",0.0122561152765131
"NUDT10",0.0125076863680912
"DUBR",0.0128295828731169
"WTIP",0.0129290954331147
"PCDHGA4",0.0130573100444136
"CILP2",0.0135193000842693
"AC093849.2",0.0142880624577578
"SLITRK4",0.0143409513375233
"AC069222.1",0.0150299926832384
"SHOX2",0.0160832076811526
"SLC6A1",0.0163080054588134
"ACTA2-AS1",0.0163434138629292
"INHBB",0.0164390555560276
"ABCC9",0.0166730584623974
"DNAH17-AS1",0.016979697459839
"ARMH4",0.017713605741655
"ASRGL1",0.0181093218470249
"ZFHX4",0.0182277753923115
"LAMA2",0.0187074918527568
"H2BC18",0.0195025228212305
"MESP2",0.0200321419074076
"AP001189.1",0.0204006663622018
"TNS1",0.0204068235900178
"SLC6A17",0.0204969212135512
"DUXAP10",0.0205144764447618
"CCDC8",0.0209233941394106
"CCDC144NL-AS1",0.0212470936433778
"EPHX3",0.0216071232026468
"ARMCX2",0.0228250793228725
"GALNT15",0.0232498502660997
"CYP1B1",0.0235982176584541
"STK31",0.0239505470085863
"AP001528.1",0.0242768537211687
"NRK",0.0251376455762665
"PTGIS",0.0263268618216295
"NKX3-2",0.0269353898232971
"EBF2",0.0277829617662246
"TNFRSF19",0.027889860934456
"SLC2A3",0.0291185618187752
"KCNE4",0.0293647143099556
"APCDD1L",0.0296629155653859
"AL049838.1",0.0297091788852828
"FRG1DP",0.0299433987622014
"LHFPL6",0.0306564749402965
"BST2",0.0310320713466002
"STK32A",0.0316908996124169
"NPR3",0.0318764018772453
"LAG3",0.031920348055273
"KCNK9",0.0319593140419767
"RNF180",0.0324271274690068
"NOS2",0.0330915907044658
"CARMN",0.0334823520636419
"FGF12",0.0339765418241686
"SLIT2",0.0340890810976124
"TGFB2",0.0343665242989007
"FAM126A",0.0346933404955625
"VEGFC",0.0353064831362033
"P2RX5",0.0365139345811166
"LZTS1",0.0366984888911901
"ISM1",0.0376182600510808
"ITGA5",0.0380984027992321
"TRPC1",0.0393369330845265
"CYP19A1",0.0399018580831357
"LTBP1",0.0406189078744843
"KANK4",0.041252421330574
"RTL8B",0.04129319604134
"FOXS1",0.0413033082171976
"B4GALNT1",0.0415027906991461
